time, acel_x,acel_y,acel_z,gyro_x, gyro_y, gyro_z,mag_x, mag_y, mag_z,Pressure
aurrera
144408, 0.25, -0.03, 1.24, 18.86, -8.30, -1.34, 35.47, -17.77, -52.64, 101.44
144534, 0.23, -0.04, 1.22, 1.40, -2.20, -31.37, 35.51, -17.68, -52.27, 101.44
aurrera
160791, 0.22, -0.13, 0.96, 1.34, -1.40, 0.12, 26.71, -10.30, -49.00, 101.46
160918, 0.33, -0.11, 0.94, 1.46, -1.59, 1.89, 27.06, -10.52, -49.85, 101.45
161044, 0.53, -0.12, 0.94, -1.53, -0.18, -3.36, 27.16, -10.34, -49.07, 101.45
161171, 0.48, -0.34, 1.02, -10.25, 7.75, -1.83, 27.03, -10.82, -50.06, 101.45
161297, 0.36, -0.11, 0.75, -5.19, 2.14, 1.83, 26.68, -10.39, -49.00, 101.45
161424, 0.14, -0.18, 0.95, -5.49, 2.69, 3.36, 27.48, -10.40, -48.68, 101.46
161550, 0.42, -0.26, 0.93, 12.70, -0.73, 2.38, 26.49, -10.34, -48.94, 101.46
161676, 0.27, 0.03, 0.84, 18.31, -8.85, 10.80, 26.00, -10.00, -48.99, 101.44
161802, 0.20, 0.01, 0.87, -7.63, -2.87, 16.85, 25.68, -9.81, -48.75, 101.45
161927, 0.25, -0.25, 0.89, 17.52, -6.65, 8.24, 24.82, -8.92, -49.15, 101.45
162053, 0.24, 0.14, 0.91, -5.55, -0.12, -0.73, 25.60, -8.67, -48.39, 101.45
162180, 0.27, -0.05, 0.94, -0.55, -0.43, -18.07, 25.42, -8.98, -48.41, 101.45
162306, 0.19, 0.09, 0.78, -20.20, 8.06, -11.47, 26.76, -9.46, -48.11, 101.45
162432, 0.20, -0.29, 1.05, 5.80, -7.26, -27.65, 27.06, -10.10, -47.88, 101.45
162558, 0.25, 0.13, 0.95, -6.10, 6.77, -10.62, 27.36, -10.55, -47.14, 101.46
162685, 0.28, -0.13, 1.03, -4.82, 1.28, -13.24, 29.06, -10.78, -47.19, 101.45
162811, 0.33, -0.33, 0.91, 4.33, -4.27, -16.66, 29.28, -10.99, -47.88, 101.45
162937, 0.19, -0.17, 1.00, 4.15, -5.31, -10.99, 29.71, -11.73, -47.75, 101.45
163063, 0.33, -0.08, 0.85, -6.53, 0.67, -4.03, 29.91, -10.75, -47.94, 101.45
163190, 0.24, -0.22, 1.01, 1.53, 1.95, -7.81, 30.20, -10.51, -48.57, 101.45
163316, 0.25, -0.20, 1.08, 0.61, -1.28, -9.95, 31.07, -10.86, -47.81, 101.43
163442, 0.21, -0.09, 0.88, 1.34, -3.48, -6.59, 30.76, -11.02, -47.86, 101.45
163569, 0.22, -0.17, 0.88, -2.44, 0.37, -3.66, 30.69, -11.36, -46.40, 101.44
163695, 0.19, -0.10, 1.10, 4.64, 2.08, -1.34, 30.65, -11.80, -47.25, 101.45
163821, 0.39, -0.33, 1.01, -0.92, -0.43, 0.31, 31.18, -11.68, -48.08, 101.45
163948, 0.38, 0.01, 0.93, 16.60, -8.73, -1.71, 31.13, -12.29, -48.13, 101.45
